"user_id","n_valid_corr","neg_ratio","strong_neg_ratio_02","strong_neg_ratio_03","mean_corr"
"0",132,0.00757575757575758,0,0,0.444442558609557
"1",132,0.0303030303030303,0,0,0.424953687182541
"2",133,0.0225563909774436,0,0,0.312410057597781
"3",131,0.0458015267175573,0.00763358778625954,0,0.325496890185467
"4",131,0.0381679389312977,0.0152671755725191,0.0152671755725191,0.386718617007097
"5",133,0.037593984962406,0.0075187969924812,0,0.371774318640213
"6",131,0.0687022900763359,0.0152671755725191,0.0152671755725191,0.433574531063026
"7",133,0.0075187969924812,0,0,0.43322291722593
"8",132,0.0227272727272727,0,0,0.392170464143828
"9",127,0.015748031496063,0,0,0.405868882918061
"10",104,0.125,0.0576923076923077,0.0288461538461538,0.362453150718988
"11",132,0.053030303030303,0.00757575757575758,0,0.365850695528517
"12",131,0.0458015267175573,0,0,0.363651913255693
"13",19,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.562862314852828
"14",30,0.2,0.133333333333333,0.0666666666666667,0.265936282526332
"15",67,0.194029850746269,0.134328358208955,0.119402985074627,0.247617500473263
"16",59,0.152542372881356,0.0847457627118644,0.0677966101694915,0.279004008483108
"17",98,0.0714285714285714,0.0306122448979592,0.0204081632653061,0.380654012607805
"18",96,0.239583333333333,0.104166666666667,0.0416666666666667,0.251327830280877
"19",54,0.222222222222222,0.0740740740740741,0.037037037037037,0.326050527436852
"20",131,0.198473282442748,0.0687022900763359,0.0458015267175573,0.181822085467326
"21",122,0.204918032786885,0.10655737704918,0.0737704918032787,0.232812645641762
"22",87,0.126436781609195,0.0574712643678161,0.0574712643678161,0.336251733029197
"23",64,0.15625,0.125,0.078125,0.351071852491419
"24",97,0.185567010309278,0.103092783505155,0.0721649484536082,0.249515435409453
"25",63,0.19047619047619,0.0952380952380952,0.0793650793650794,0.324037538472583
"26",129,0.13953488372093,0.0930232558139535,0.0465116279069767,0.303587469578572
"27",128,0.1171875,0.0546875,0.046875,0.306854179984746
"28",95,0.189473684210526,0.105263157894737,0.0631578947368421,0.278463919491432
"29",132,0.053030303030303,0.0151515151515152,0,0.412342363757795
"30",132,0.113636363636364,0.0303030303030303,0.0227272727272727,0.327110271842857
"31",104,0.201923076923077,0.115384615384615,0.0961538461538462,0.330129332169217
"32",51,0.137254901960784,0.0588235294117647,0.0588235294117647,0.39860635317084
"33",106,0.132075471698113,0.0471698113207547,0.0377358490566038,0.402433353810383
"34",58,0.224137931034483,0.137931034482759,0.103448275862069,0.261134499822419
"35",58,0.258620689655172,0.172413793103448,0.155172413793103,0.209850672045843
"36",98,0.0918367346938776,0.0408163265306122,0.0204081632653061,0.397910805189688
"37",69,0.347826086956522,0.173913043478261,0.0869565217391304,0.144913298954139
